bfs,9,8,36,73.46938775510205,0.2786473999985901
dfs,27,26,45,91.83673469387756,0.2318727999991097
ucs,9,8,34,69.38775510204081,0.24061599999913597
greedyheuristic_1,15,14,15,30.612244897959183,0.1062381000010646
greedyheuristic_2,15,14,15,30.612244897959183,0.09986260000005132
greedyheuristic_4,15,14,15,30.612244897959183,0.09879100000034668
astarheuristic_1,9,8,24,48.97959183673469,0.1606346999978996
astarheuristic_2,9,8,24,48.97959183673469,0.15710129999933997
astarheuristic_4,9,8,25,51.02040816326531,0.28920560000187834
